154,67218,67381
126,55711,55842
101,71736,71842
161,76243,76408
148,53859,54011
124,71274,71401
156,60544,60704
123,72019,72147
130,71237,71370
255,74564,74824
47,53476,53531
123,77596,77722
37,57399,57442
118,68756,68878
130,72757,72890
104,70082,70191
113,67158,67275
100,71839,71943
121,55941,56066
159,68018,68182
101,65334,65442
132,84376,84512
116,89362,89483
381,57480,57888
140,75784,75928
142,78778,78924
106,62931,63041
89,57114,57207
136,75546,75686
120,74670,74793
141,77738,77884
120,71661,71785
121,71049,71175
125,79130,79259
138,77147,77288
340,72409,72752
140,78498,78642
193,79459,79656
255,70204,70463
163,80444,80611
152,83245,83401
178,77917,78099
144,77855,78006
189,83922,84116
122,86007,86135
135,78190,78329
120,88227,88352
121,89325,89452
127,85913,86043
91,80837,80932
140,80095,80240
143,68275,68427
181,75017,75203
108,84175,84293
187,80223,80413
171,70712,70886
140,88372,88515
155,88523,88681
149,85518,85672
127,75860,75991
136,67089,67247
126,92510,92640
177,50893,51075
111,86282,86396
273,92256,92534
189,89607,89802
110,90852,90971
170,72023,72197
100,89632,89736
124,73748,73875
184,90012,90201
138,91923,92065
150,91628,91782
133,79987,80126
131,77995,78129
134,96654,96791
124,73003,73132
90,73811,73905
132,71678,71816
134,82715,82853
146,88304,88455
122,90566,90693
140,70057,70205
124,86249,86377
115,68048,68170
87,76252,76343
134,71579,71718
111,63476,63591
121,69623,69749
90,88748,88843
122,38118,38243
92,92078,92175
105,93158,93270
148,60548,60699
331,91732,92067
97,63812,63919
120,60398,60522
140,55243,55386
122,91726,91854
102,90471,90577
113,91170,91291
132,68625,68762
137,94796,94939
102,88596,88701
117,92184,92306
134,87772,87910
241,93324,93572
129,96094,96226
95,95067,95166
142,69551,69697
171,93119,93293
176,95027,95216
111,61565,61679
138,95400,95543
221,94750,94975
131,89853,89988
91,93327,93422
139,63033,63176
128,93957,94088
155,93127,93285
139,93755,93898
195,58623,58824
128,60846,60977
142,64310,64460
63,42545,42611
110,89183,89297
128,90666,90799
186,92565,92755
152,62963,63118
177,58670,58850
104,91747,91855
93,66212,66308
120,54906,55030
165,57345,57514
145,92822,92970
100,93139,93242
178,84861,85046
104,92759,92867
183,92788,92977
113,58154,58271
126,89578,89708
102,50337,50442
100,91468,91571
125,53782,53914
188,91657,91850
134,66542,66680
130,87286,87420
100,90223,90327
98,83232,83333
122,81672,81798
123,64729,64856
90,87204,87298
156,87861,88022
109,80804,80917
97,81860,81966
182,38773,38959
90,83198,83294
178,56537,56718
124,53956,54083
232,85793,86029
249,84764,85023
102,79293,79400
102,51086,51193
107,80357,80468
104,80141,80248
84,74043,74132
150,61467,61622
